case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,origins,origin_bytes,origin_bytes_avoided,hit_ratio,byte_hit_ratio,p50_ms,p95_ms,p99_ms,p999_ms,samples,server_cpu_s,server_cpu_us_per_object,server_memory_peak_bytes,path_component_peak_sum_upper_bound_bytes,client_cpu_s,client_memory_peak_bytes,cache_file_logical_bytes,cache_file_allocated_bytes,origin_cpu_s,origin_memory_peak_bytes,nginx_cpu_s,adapter_cpu_s,grpc_server_cpu_s,adapter_memory_peak_bytes,grpc_server_memory_peak_bytes
onepass_256k_c8,r0,grpc_adapter,0,30.004379597,913.4333176727407,228.35832941818518,27407,27407,7184580608,0,0.0,0.0,8.532,11.162,12.642759999999999,14.760632,27407,25.214752,920.0113839530047,174538752,174538752,14.320287,21991424,0,0,4.230509,37224448,,19.086638,6.128114,43540480,130998272
onepass_256k_c8,r0,nginx,0,30.010445514,680.0632130062553,170.01580325156382,20409,20409,5350096896,0,0.0,0.0,10.017,22.619399999999995,34.22175999999999,50.125696,20409,14.06958,689.3811553726297,30240768,30240768,11.949839,16277504,2485200906,2518364160,3.189311,37224448,14.06958,,,,
onepass_256k_c8,r0,origin_direct,0,30.005422347,1246.6080152922702,311.65200382306756,37405,37405,9805496320,0,0.0,0.0,6.153,7.9777999999999984,8.983,9.940384,37405,0.0,0.0,0,0,26.642466,21360640,0,0,6.577691,37224448,,,,,
onepass_256k_c8,r1,grpc_adapter,0,30.007577764,964.0564869153162,241.01412172882905,28929,28929,7583563776,0,0.0,0.0,8.128,10.532599999999999,11.782879999999999,12.932288,28929,23.504961,812.505133257285,172470272,172470272,16.588302,20635648,0,0,4.680943,37224448,,17.261917,6.243044,41943040,130527232
onepass_256k_c8,r1,nginx,0,30.008101306,818.2790290397455,204.56975725993638,24555,24555,6436945920,0,0.0,0.0,9.274,13.8933,17.36392,48.02008399999999,24555,11.192491,455.8131134188556,28065792,28065792,14.127726,21913600,1489964514,1509847040,3.789876,38338560,11.192491,,,,
onepass_256k_c8,r1,origin_direct,0,30.00548893,1260.1027794683564,315.0256948670891,37810,37810,9911664640,0,0.0,0.0,6.091,7.825549999999998,8.88182,9.969764,37810,0.0,0.0,0,0,25.586415,24358912,0,0,7.473335,37224448,,,,,
