case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,origins,origin_bytes,origin_bytes_avoided,hit_ratio,byte_hit_ratio,p50_ms,p95_ms,p99_ms,p999_ms,samples,server_cpu_s,server_cpu_us_per_object,server_memory_peak_bytes,path_component_peak_sum_upper_bound_bytes,client_cpu_s,client_memory_peak_bytes,cache_file_logical_bytes,cache_file_allocated_bytes,origin_cpu_s,origin_memory_peak_bytes,nginx_cpu_s,adapter_cpu_s,grpc_server_cpu_s,adapter_memory_peak_bytes,grpc_server_memory_peak_bytes
onepass_256k_c8,r0,grpc_adapter,0,30.00860293,830.9950335965208,207.7487583991302,24937,24937,6537084928,0,0.0,0.0,9.071,13.491399999999997,15.95964,18.837376,24937,23.560895000000002,944.8167381802143,159956992,159956992,12.364468,26312704,0,0,4.199582,30887936,,17.675916,5.884979,35352576,124604416
onepass_256k_c8,r0,nginx,0,30.009900097,674.9439329864624,168.7359832466156,20255,20255,5309726720,0,0.0,0.0,10.924,19.039799999999996,27.246239999999993,43.89738,20255,9.429617,465.5451493458405,37277696,37277696,10.730173,19550208,1316822808,1334394880,3.699714,30887936,9.429617,,,,
onepass_256k_c8,r0,origin_direct,0,30.00652718,850.5149511940289,212.62873779850722,25521,25521,6690177024,0,0.0,0.0,8.836,13.825999999999999,16.5516,20.068759999999997,25521,0.0,0.0,0,0,26.179429,20697088,0,0,9.558286,30887936,,,,,
onepass_256k_c8,r1,grpc_adapter,0,30.007572806,845.7198509212875,211.42996273032188,25378,25378,6652690432,0,0.0,0.0,8.982,13.153,15.91023,19.176644999999997,25378,23.2228,915.076050122153,156065792,156065792,12.841697,28553216,0,0,4.394679,30887936,,16.98135,6.24145,36405248,119660544
onepass_256k_c8,r1,nginx,0,30.008240597,709.8383502740082,177.45958756850206,21301,21301,5583929344,0,0.0,0.0,10.416,17.399,23.41399999999999,44.25079999999999,21301,9.456113,443.9281254401202,37617664,37617664,10.97349,17342464,1663894422,1686097920,3.768287,31870976,9.456113,,,,
onepass_256k_c8,r1,origin_direct,0,30.010941638,860.4528412165113,215.11321030412782,25823,25823,6769344512,0,0.0,0.0,8.735,13.921899999999999,16.88578,20.137862,25823,0.0,0.0,0,0,25.125361,19804160,0,0,9.680171,30887936,,,,,
