case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,origins,origin_bytes,origin_bytes_avoided,hit_ratio,byte_hit_ratio,p50_ms,p95_ms,p99_ms,p999_ms,samples,server_cpu_s,server_cpu_us_per_object,server_memory_peak_bytes,path_component_peak_sum_upper_bound_bytes,client_cpu_s,client_memory_peak_bytes,cache_file_logical_bytes,cache_file_allocated_bytes,origin_cpu_s,origin_memory_peak_bytes,nginx_cpu_s,adapter_cpu_s,grpc_server_cpu_s,adapter_memory_peak_bytes,grpc_server_memory_peak_bytes
onepass_256k_c8,r0,grpc_adapter,0,10.009446421,771.2714245418508,192.8178561354627,7720,7720,2023751680,0,0.0,0.0,9.838000000000001,14.158299999999997,17.178639999999998,,7720,8.430164000000001,1091.9901554404148,155353088,155353088,4.06352,18997248,0,0,3.549583,29659136,,6.509572,1.920592,36368384,118984704
onepass_256k_c8,r0,nginx,0,10.00770038,490.0226639279143,122.50566598197858,4904,4904,1285554176,0,0.0,0.0,15.626999999999999,22.521649999999998,31.013379999999994,,4904,2.281679,465.26896411092986,24928256,24928256,2.682318,19836928,862811888,874332160,2.272644,29659136,2.281679,,,,
onepass_256k_c8,r0,origin_direct,0,10.010400714,836.529949124672,209.132487281168,8374,8374,2195193856,0,0.0,0.0,8.852,14.329399999999998,17.256329999999995,,8374,0.0,0.0,0,0,8.002268,18886656,0,0,3.266232,30998528,,,,,
recent_replay_256k_c8,r0,grpc_adapter,0,10.002351212,1981.334146337912,495.333536584478,19818,32,8388608,5186781184,0.9983853062872137,0.9983853062872137,3.463,8.717449999999998,11.370939999999997,14.776359,19818,10.868914,548.4364718942376,101756928,101756928,8.568827,49451008,0,0,0.023287,27688960,,6.508835,4.360079,53297152,48459776
recent_replay_256k_c8,r0,nginx,0,10.004337755,2333.6877034495924,583.4219258623981,23347,32,8388608,6111887360,0.998629374223669,0.998629374223669,2.73,8.141,11.211659999999993,16.549658,23347,4.570233,195.75247355120572,25477120,25477120,9.967572,57466880,16815389,17043456,0.02411,29175808,4.570233,,,,
repeated_1m_c8,r0,grpc_adapter,0,10.008483046,542.4398457835985,542.4398457835985,5429,0,0,5692719104,1.0,1.0,14.061,23.9602,29.06264,,5429,9.470793,1744.4820408915086,242462720,242462720,9.069461,80379904,0,0,0.00883,30998528,,4.992095,4.478698,133165056,109297664
repeated_1m_c8,r0,nginx,0,10.009834379,663.8471475552872,663.8471475552872,6645,0,0,6967787520,1.0,1.0,11.554,21.503,26.165639999999996,,6645,3.588568,540.040331075997,44687360,44687360,10.003122,141443072,33573917,33689600,0.00915,30998528,3.588568,,,,
repeated_256k_c8,r0,grpc_adapter,0,10.002756338,2017.7438415975141,504.43596039937853,20183,0,0,5290852352,1.0,1.0,3.359,8.277899999999999,10.96836,14.968358,20183,11.072028,548.5818758360997,105316352,105316352,8.519966,44699648,0,0,0.007699,24158208,,6.640802,4.431226,54644736,50671616
repeated_256k_c8,r0,nginx,0,10.003576921,2368.152930405202,592.0382326013005,23690,0,0,6210191360,1.0,1.0,2.745,8.100099999999998,11.04433,15.01211,23690,4.68617,197.81215702828197,33374208,33374208,10.312631,53874688,16815389,17043456,0.009215,24125440,4.68617,,,,
