case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
offered_1k_20k,r0,grpc,0,20.00009426,19999.905740444243,19.53115794965258,400000,400000,400000,400000,0,1.0,1.0,0.0,0,409600000,0.175551,0.301551,0.515422,0.841417042,400000,True,0,41.828517,104.5712925,23474176,29167616,0,0,0,0,30.831427,36544512,0,0,0,0,0,0,0,0,,0,1002,8387424,0,400000,0,1.0
offered_1k_20k,r0,redis,0,20.000018009,19999.981991016215,19.531232413101772,400000,400000,400000,400000,0,1.0,1.0,0.0,0,409600000,0.218837,1.306459,1.526127,1.65083721,400000,True,0,4.527163,11.3179075,17346560,18612224,0,0,0,0,11.182865,31809536,0,0,0,0,0,0,0,0,,0,,2590792,,,,
offered_1k_50k,r0,grpc,0,20.000141885,49999.6452900164,48.82777860353164,1000000,1000000,1000000,1000000,0,1.0,1.0,0.0,0,1024000000,0.189377,0.596293,0.9533764099999997,2.5176700839999997,1000000,True,0,56.495307,56.495307,28610560,34078720,0,0,0,0,48.69447,73490432,0,0,0,0,0,0,0,0,,0,1002,8387424,0,1000000,0,1.0
offered_1k_50k,r0,redis,0,20.000111093,49999.72226904269,48.827853778362005,1000000,1000000,1000000,1000000,0,1.0,1.0,0.0,0,1024000000,0.085877,0.160338,0.8910927999999992,1.4601321209999998,1000000,True,0,10.07886,10.07886,19443712,20463616,0,0,0,0,27.048297,70905856,0,0,0,0,0,0,0,0,,0,,2590872,,,,
offered_1k_80k,r0,grpc,0,20.553371009,71282.61341453217,69.61192716262907,1465098,1465098,1465098,1465098,0,1.0,1.0,0.0,0,1500260352,554.968612,570.5985986000001,586.2245997699999,587.845494852,1465098,True,134902,63.836803,43.571694862732734,28708864,34381824,0,0,0,0,60.221931,98570240,0,0,0,0,0,0,0,0,,0,1002,8387424,0,1465098,0,1.0
offered_1k_80k,r0,redis,0,20.000038051,79999.84779628957,78.12485136356403,1600000,1600000,1600000,1600000,0,1.0,1.0,0.0,0,1638400000,0.07259,0.142592,0.27533802999999996,1.2580440849999999,1600000,True,0,13.732788,8.5829925,19726336,19726336,0,0,0,0,35.003827,98357248,0,0,0,0,0,0,0,0,,0,,2590728,,,,
