case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
pipeline_1k_c8,r0,grpc,0,20.000534176,223078.04185319575,217.84965024726148,4461680,278855,4461680,4461680,0,1.0,1.0,0.0,0,4568760320,0.468667,1.3419705999999993,2.11647732,3.1952514859999996,278855,True,0,59.023897,13.229074474189094,20692992,26255360,0,0,0,0,35.430449,32497664,0,0,0,0,0,0,0,0,,0,1002,8387424,0,4461680,0,1.0
pipeline_1k_c8,r1,grpc,0,20.000371092,224581.4329813436,219.31780564584335,4491712,280732,4491712,4491712,0,1.0,1.0,0.0,0,4599513088,0.465958,1.343625,2.10375,3.186637423,280732,True,0,59.115213,13.160953551786045,20135936,26480640,0,0,0,0,35.491564,31846400,0,0,0,0,0,0,0,0,,0,1002,8387424,0,4491712,0,1.0
