case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after
origin_uniform_64k_5ms,r0,memcached_extstore,0,60.000194987,44368.989143731895,2773.0618214832434,2662148,2662148,2662148,2662148,0,1.0,1.0,0.0,0,174466531328,0.12075,0.391583,0.797625,1.72175,2662148,True,0,121.310735,45.56874185807851,122327040,196030464,0,0,0,0,122.285442,123609088,75497472,84017152,0,0,0,0,913541,28024694,59956723003,0,2048,134413226
origin_uniform_64k_5ms,r1,memcached_extstore,0,60.000173069,43889.4067350711,2743.0879209419436,2633372,2633372,2633372,2633372,0,1.0,1.0,0.0,0,172580667392,0.120667,0.397792,0.813375,1.7554434179999998,2633372,True,0,121.168658,46.01273880029103,113418240,187670528,0,0,0,0,121.38432,142356480,75497472,84017152,0,0,0,0,900956,27302737,59130796283,0,2048,134413226
origin_uniform_64k_5ms,r2,memcached_extstore,0,60.000209693,43427.24822683396,2714.2030141771224,2605644,2605644,2605644,2605644,0,1.0,1.0,0.0,0,170763485184,0.120792,0.404208,0.8257915699999999,1.766639637,2605644,True,0,120.782598,46.35422106780512,122068992,196182016,0,0,0,0,120.78099,123215872,75497472,84017152,0,0,0,0,894385,26974596,58699521447,0,2048,134413226
origin_uniform_64k_5ms,r3,memcached_extstore,0,60.000244027,43919.15470900723,2744.9471693129517,2635160,2635160,2635160,2635160,0,1.0,1.0,0.0,0,172697845760,0.120667,0.397625,0.799558809999999,1.7295146059999997,2635160,True,0,121.991624,46.29382048907846,121860096,197861376,0,0,0,0,121.731479,137322496,75497472,84017152,0,0,0,0,902639,27237101,59241360302,0,2048,134413226
origin_uniform_64k_5ms,r4,memcached_extstore,0,60.000205986,43980.49901054885,2748.781188159303,2638839,2638839,2638839,2638839,0,1.0,1.0,0.0,0,172938952704,0.120833,0.396167,0.804984419999999,1.731298642,2638839,True,0,121.437475,46.01928158557608,118702080,192737280,0,0,0,0,122.019014,145805312,75497472,84017152,0,0,0,0,903953,27302747,59327483027,0,2048,134413226
