engine,case,version,value_bytes,pattern,mode,concurrency,operations,batches,ops_s,payload_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,errors,hits,read_operations,hit_ratio,origin_requests,origin_bytes_avoided,nvm_hits_delta,cpu_us_per_op,server_cpu_cores,memory_after_mib,disk_read_mib,disk_write_mib,raw_path
grpc,origin_uniform_64k-0,1.6.0,65536,uniform,origin,1,3300,,245.23558113228302,7.8215287618705425,1.147979,8.81506875,9.33731991,,0,1684,3300,0.5103030303030303,1616,110362624,0,485.52757575757573,0.11906863719665767,230.85546875,0.03125,0.0,bench/investigation/runs/2026-09-23-real-budget-1.6/grpc/origin_uniform_64k-0/result.json
memcached,origin_uniform_64k-0,1.6.45,65536,uniform,origin,1,3300,,313.0612570220298,10.702188805393254,0.5253335,7.499585399999998,7.8794067499999985,,0,1805,3300,0.546969696969697,1495,118292480,0,194.78939393939393,0.06098101252122603,120.15234375,0.0,0.0,bench/investigation/runs/2026-09-23-real-budget-1.6/memcached/origin_uniform_64k-0/result.json
redis,origin_uniform_64k-0,8.2.10,65536,uniform,origin,1,3300,,286.10846090794524,9.780791135205325,0.43620899999999996,8.10155,8.45862634,,0,1805,3300,0.546969696969697,1495,118292480,0,196.81484848484848,0.05631039338383044,150.42578125,0.0,0.0,bench/investigation/runs/2026-09-23-real-budget-1.6/redis/origin_uniform_64k-0/result.json
valkey,origin_uniform_64k-0,8.1.10,65536,uniform,origin,1,3300,,288.0110406550306,9.845831976938074,0.474896,8.065129800000001,8.38518658,,0,1805,3300,0.546969696969697,1495,118292480,0,188.73818181818183,0.05435868015679293,133.5234375,0.0,0.0,bench/investigation/runs/2026-09-23-real-budget-1.6/valkey/origin_uniform_64k-0/result.json
grpc,origin_uniform_64k-1,1.6.0,65536,uniform,origin,1,3300,,237.71512745585466,7.5816718680996065,1.078646,8.844254150000001,9.216944079999992,,0,1684,3300,0.5103030303030303,1616,110362624,0,540.9239393939393,0.12858580319695329,230.453125,0.0,0.0,bench/investigation/runs/2026-09-23-real-budget-1.6/grpc/origin_uniform_64k-1/result.json
memcached,origin_uniform_64k-1,1.6.45,65536,uniform,origin,1,3300,,309.3793674311849,10.576321178281985,0.5233749999999999,7.6240333499999995,7.93763042,,0,1805,3300,0.546969696969697,1495,118292480,0,186.85787878787878,0.05780997233892697,119.1328125,0.0,0.0,bench/investigation/runs/2026-09-23-real-budget-1.6/memcached/origin_uniform_64k-1/result.json
redis,origin_uniform_64k-1,8.2.10,65536,uniform,origin,1,3300,,282.80439566800607,9.667839662514222,0.4922085,8.135446149999998,8.406672259999999,,0,1805,3300,0.546969696969697,1495,118292480,0,223.74636363636364,0.06327645515109574,126.41796875,0.0,0.0,bench/investigation/runs/2026-09-23-real-budget-1.6/redis/origin_uniform_64k-1/result.json
valkey,origin_uniform_64k-1,8.1.10,65536,uniform,origin,1,3300,,283.68705094988127,9.698013768267721,0.4504375,8.11444435,8.39149967,,0,1805,3300,0.546969696969697,1495,118292480,0,194.0830303030303,0.0550588425060831,124.34765625,0.0,0.0,bench/investigation/runs/2026-09-23-real-budget-1.6/valkey/origin_uniform_64k-1/result.json
