case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
origin_uniform_64k_1ms,r0,grpc,0,10.002757796,10031.23359041293,405.93805056678997,100340,100340,100340,64968,35372,0.6474785728523021,0.6474785728523021,352.5214271476978,2318139392,4257742848,0.262291,2.3253372,3.2422127599999997,4.810157898999999,100340,True,0,15.862618,158.08867849312338,112254976,117182464,0,0,0,0,11.324089,46505984,0,0,0,0,0,0,0,0,,33461,1325,96466624,0,64968,0,0.6474785728523021
origin_uniform_64k_1ms,r0,grpc_nvm,0,10.000419255,13845.419523863751,865.3387202414845,138460,138460,138460,138460,0,1.0,1.0,0.0,0,9074114560,0.389729,1.5459600999999996,2.35221825,3.459125,138460,True,0,25.725899,185.80022389137656,253259776,271040512,0,0,0,0,13.966344,35516416,536870912,536870912,47375,0,0,3247009792,0,0,,47375,1325,96466624,47375,91085,0.3421565795175502,0.6578434204824498
origin_uniform_64k_1ms,r0,memcached_extstore,0,10.000289004,32625.857099679473,2039.116068729967,326268,326268,326268,326268,0,1.0,1.0,0.0,0,21382299648,0.1598335,0.7724022999999993,1.370373249999998,2.283193714,326268,True,0,15.441427,47.32743327571199,113516544,165588992,0,0,0,0,17.923311,33640448,50331648,50462720,0,0,0,0,108780,3150314,7139349230,0,2048,134413226,,,,
origin_uniform_64k_1ms,r0,redis,0,10.00074363,7471.744378672768,275.0045498366605,74723,74723,74723,44004,30719,0.5888949854797051,0.5888949854797051,411.10501452029496,2013200384,2883846144,0.266,3.2173667,3.6447702599999996,4.220191573999999,74723,True,0,3.669296,49.10530894102217,98545664,100163584,0,0,0,0,6.194319,14209024,0,0,0,0,0,0,0,0,,29185,,99817576,,,,
origin_uniform_64k_20ms,r0,grpc,0,10.023444838,845.2183991557175,32.492571692047655,8472,8472,8472,5211,3261,0.615084985835694,0.615084985835694,384.91501416430594,213712896,341508096,1.0494165,25.7814795,27.72157232,,8472,True,0,4.003746,472.58569405099144,110821376,115924992,0,0,0,0,3.576533,39559168,0,0,0,0,0,0,0,0,,3115,1325,96466624,0,5211,0,0.615084985835694
origin_uniform_64k_20ms,r0,grpc_nvm,0,10.000479629,13869.034800870748,866.8146750544217,138697,138697,138697,138697,0,1.0,1.0,0.0,0,9089646592,0.399583,1.516699599999999,2.3264672799999997,3.7596882319999985,138697,True,0,25.582335,184.44764486614707,257626112,274440192,0,0,0,0,14.055217,40009728,536870912,536870912,47013,0,0,3222011904,0,0,,47015,1325,96466624,47013,91684,0.3389619097745445,0.6610380902254555
origin_uniform_64k_20ms,r0,memcached_extstore,0,10.000137172,32359.356120240227,2022.4597575150142,323598,323598,323598,323598,0,1.0,1.0,0.0,0,21207318528,0.161833,0.77075,1.3742969799999996,2.347101801,323598,True,0,15.35349,47.44618322733762,115884032,166199296,0,0,0,0,18.197553,26128384,50331648,50462720,0,0,0,0,108274,3084737,7106239486,0,2048,134415274,,,,
origin_uniform_64k_20ms,r0,redis,0,10.011073004,770.3469944648903,28.418532147985122,7712,7712,7712,4552,3160,0.5902489626556017,0.5902489626556017,409.75103734439836,207093760,298319872,0.682,27.3461,29.35845087,,7712,True,0,1.112775,144.29136410788382,98091008,99536896,0,0,0,0,2.012799,10956800,0,0,0,0,0,0,0,0,,3013,,99818592,,,,
