engine,case,version,value_bytes,pattern,mode,concurrency,operations,batches,ops_s,payload_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,errors,hits,read_operations,hit_ratio,origin_requests,origin_bytes_avoided,nvm_hits_delta,cpu_us_per_op,server_cpu_cores,memory_after_mib,disk_read_mib,disk_write_mib,raw_path
grpc,hit_1k_c1-0,1.6.0,1024,uniform,hit,1,3000,,6667.735964062093,6.511460902404388,0.13618750000000002,0.19059549999999995,0.325459579999998,,0,3000,3000,1.0,0,3072000,0,117.80433333333333,0.7854881900890256,145.30078125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/hit_1k_c1-0/result.json
memcached,hit_1k_c1-0,1.6.45,1024,uniform,hit,1,3000,,17209.737526754823,16.806384303471507,0.054833,0.07225204999999998,0.08445924999999997,,0,3000,3000,1.0,0,3072000,0,22.881,0.3937760043496771,6.34375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/hit_1k_c1-0/result.json
redis,hit_1k_c1-0,8.2.10,1024,uniform,hit,1,3000,,15323.879776048261,14.96472634379713,0.0627085,0.081542,0.10354741999999986,,0,3000,3000,1.0,0,3072000,0,30.147,0.46196900360852694,12.48046875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/hit_1k_c1-0/result.json
valkey,hit_1k_c1-0,8.1.10,1024,uniform,hit,1,3000,,15159.959631767406,14.804648077897857,0.062541,0.07825209999999999,0.09550791999999982,,0,3000,3000,1.0,0,3072000,0,29.866,0.45276735436236537,11.05078125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/hit_1k_c1-0/result.json
grpc,hit_1k_c1-1,1.6.0,1024,uniform,hit,1,3000,,6837.646453101521,6.677389114356954,0.142146,0.173583,0.1990536699999997,,0,3000,3000,1.0,0,3072000,0,117.548,0.8037516652691776,145.0703125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/hit_1k_c1-1/result.json
memcached,hit_1k_c1-1,1.6.45,1024,uniform,hit,1,3000,,16883.157995032972,16.487458979524387,0.055417,0.076709,0.09045940999999999,,0,3000,3000,1.0,0,3072000,0,23.656,0.3993879855305,6.2265625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/hit_1k_c1-1/result.json
redis,hit_1k_c1-1,8.2.10,1024,uniform,hit,1,3000,,15209.88693332709,14.853405208327237,0.06372900000000001,0.0816271,0.10625458999999988,,0,3000,3000,1.0,0,3072000,0,29.706,0.45182490124141456,12.78125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/hit_1k_c1-1/result.json
valkey,hit_1k_c1-1,8.1.10,1024,uniform,hit,1,3000,,14946.497740696088,14.596189199898523,0.0633955,0.08029614999999998,0.10585523999999949,,0,3000,3000,1.0,0,3072000,0,29.807666666666666,0.44552022248875545,11.29296875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/hit_1k_c1-1/result.json
grpc,hit_1k_c8-0,1.6.0,1024,uniform,hit,8,3000,,10310.184760917979,10.068539805583963,0.6373125,1.457733,1.9625181599999986,,0,3000,3000,1.0,0,3072000,0,145.165,1.4966779708186582,145.5234375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/hit_1k_c8-0/result.json
memcached,hit_1k_c8-0,1.6.45,1024,uniform,hit,8,3000,,12782.286573366786,12.482701731803502,0.468604,1.2324826999999983,1.729462419999996,,0,3000,3000,1.0,0,3072000,0,25.641,0.32775061002769773,6.625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/hit_1k_c8-0/result.json
redis,hit_1k_c8-0,8.2.10,1024,uniform,hit,8,3000,,9247.253042433436,9.030520549251403,0.7123125,1.7704038499999994,2.7899631599999912,,0,3000,3000,1.0,0,3072000,0,29.454,0.2723685911118344,12.57421875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/hit_1k_c8-0/result.json
valkey,hit_1k_c8-0,8.1.10,1024,uniform,hit,8,3000,,9192.311202817013,8.976866409000989,0.7204585,1.76629935,2.3019338299999976,,0,3000,3000,1.0,0,3072000,0,28.786,0.2646098702842905,11.328125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/hit_1k_c8-0/result.json
grpc,hit_64k-0,1.6.0,65536,uniform,hit,1,2000,,4990.431371901127,311.90196074382044,0.19425,0.24542529999999999,0.28421926000000003,,0,2000,2000,1.0,0,131072000,0,163.765,0.817257993619388,177.890625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/hit_64k-0/result.json
