case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,hits,origins,hit_ratio,origin_bytes,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,client_cpu_s,client_memory_peak_bytes,nvm_hits_delta,nvm_written_bytes_delta,extstore_objects_read_delta,extstore_bytes_written_delta
hit_1k_c8,r0,grpc,0,5.00025471,42116.6544933868,41.129545403698046,210594,210594,210594,0,1.0,0,0.166083,0.298958,0.8385249399999971,1.9169771559999995,210594,True,0,12.639091,60.01638698158542,153145344,159485952,9.017422,94474240,0,0,0,0
hit_1k_c8,r0,redis,0,5.000046835,114066.53153879907,111.39309720585847,570338,570338,570338,0,1.0,0,0.075292,0.105417,0.129375,0.2814157499999999,570338,True,0,3.62423,6.354530120735424,12775424,13889536,10.202115,203665408,0,0,0,0
