case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,origins,origin_bytes,origin_bytes_avoided,hit_ratio,byte_hit_ratio,p50_ms,p95_ms,p99_ms,p999_ms,samples,server_cpu_s,server_cpu_us_per_object,server_memory_peak_bytes,path_component_peak_sum_upper_bound_bytes,client_cpu_s,client_memory_peak_bytes,cache_file_logical_bytes,cache_file_allocated_bytes,origin_cpu_s,origin_memory_peak_bytes,nginx_cpu_s,adapter_cpu_s,grpc_server_cpu_s,adapter_memory_peak_bytes,grpc_server_memory_peak_bytes
onepass_256k_c8,r0,grpc_adapter,0,10.006313296,838.9703331951321,209.74258329878302,8395,8395,2200698880,0,0.0,0.0,8.981,13.094299999999999,16.089119999999998,,8395,7.727481,920.4861226920787,156401664,156401664,3.982863,17190912,0,0,1.432117,32862208,,5.704009,2.023472,36495360,119906304
onepass_256k_c8,r0,nginx,0,10.01024738,553.9323644567114,138.48309111417785,5545,5545,1453588480,0,0.0,0.0,13.576,22.1882,28.015079999999998,,5545,2.20422,397.51487826871056,27832320,27832320,2.875986,16625664,707277236,716718080,0.973745,32862208,2.20422,,,,
onepass_256k_c8,r0,origin_direct,0,10.009119629,858.517064288352,214.629266072088,8593,8593,2252603392,0,0.0,0.0,8.694,13.7738,16.36564,,8593,0.0,0.0,0,0,8.326994,21135360,0,0,2.986612,32862208,,,,,
