engine,case,version,value_bytes,pattern,mode,concurrency,operations,batches,ops_s,payload_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,errors,hits,read_operations,hit_ratio,origin_requests,origin_bytes_avoided,nvm_hits_delta,cpu_us_per_op,server_cpu_cores,memory_after_mib,disk_read_mib,disk_write_mib,raw_path
grpc,media_256k-0,1.6.0,262144,uniform,hit,1,1000,,3315.597187196129,828.8992967990323,0.2890205,0.3823149,0.42430283,,0,1000,1000,1.0,0,262144000,0,320.658,1.0631727628519365,196.58203125,0.0,0.0,bench/investigation/runs/2026-09-23-pinned-media-1.6/grpc/media_256k-0/result.json
memcached,media_256k-0,1.6.45,262144,uniform,hit,1,1000,,6693.709252043614,1673.4273130109034,0.143583,0.18125829999999998,0.21117657999999997,,0,1000,1000,1.0,0,262144000,0,81.367,0.5446470407110328,59.671875,0.0,0.0,bench/investigation/runs/2026-09-23-pinned-media-1.6/memcached/media_256k-0/result.json
redis,media_256k-0,8.2.10,262144,uniform,hit,1,1000,,5366.903904034513,1341.7259760086283,0.177625,0.23964169999999999,0.27222440999999997,,0,1000,1000,1.0,0,262144000,0,83.489,0.44807744004393746,53.0859375,0.0,0.0,bench/investigation/runs/2026-09-23-pinned-media-1.6/redis/media_256k-0/result.json
valkey,media_256k-0,8.1.10,262144,uniform,hit,1,1000,,5485.680451290863,1371.4201128227157,0.175375,0.21459964999999998,0.27954641999999996,,0,1000,1000,1.0,0,262144000,0,82.263,0.4512685309645403,51.91796875,0.0,0.0,bench/investigation/runs/2026-09-23-pinned-media-1.6/valkey/media_256k-0/result.json
