case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,origins,origin_bytes,origin_bytes_avoided,hit_ratio,byte_hit_ratio,p50_ms,p95_ms,p99_ms,p999_ms,samples,server_cpu_s,server_cpu_us_per_object,server_memory_peak_bytes,path_component_peak_sum_upper_bound_bytes,client_cpu_s,client_memory_peak_bytes,cache_file_logical_bytes,cache_file_allocated_bytes,origin_cpu_s,origin_memory_peak_bytes,nginx_cpu_s,adapter_cpu_s,grpc_server_cpu_s,adapter_memory_peak_bytes,grpc_server_memory_peak_bytes
recent_replay_256k_c8,r0,grpc_adapter,0,30.003197305,2579.925039759025,644.9812599397562,77406,32,8388608,20283129856,0.9995865953543653,0.9995865953543653,2.842,5.281,7.177,13.770529999999988,77406,45.557731000000004,588.5555512492573,126754816,126754816,50.47737,29421568,0,0,0.023084,31014912,,24.295393,21.262338,67112960,59641856
recent_replay_256k_c8,r0,nginx,0,30.001588931,2968.842757123636,742.210689280909,89070,32,8388608,23340777472,0.9996407320085327,0.9996407320085327,2.577,4.278,5.4786199999999985,9.775826999999998,89070,24.49972,275.06141237229144,31674368,31674368,61.867874,23011328,16815454,17043456,0.019924,35868672,24.49972,,,,
recent_replay_256k_c8,r1,grpc_adapter,0,30.003394846,2816.781248714831,704.1953121787077,84513,32,8388608,22146187264,0.9996213600274514,0.9996213600274514,2.657,4.747,5.768879999999999,7.226952,84513,44.549999,527.1378249500077,125566976,125566976,51.118728,25309184,0,0,0.020198,35868672,,26.28788,18.262119,64188416,61378560
recent_replay_256k_c8,r1,nginx,0,30.00121193,3021.8779231829517,755.4694807957379,90660,32,8388608,23757586432,0.999647032870064,0.999647032870064,2.566,4.014,5,6.752681999999999,90660,25.194815,277.90442311934703,29061120,29061120,60.368077,28151808,16815454,17043456,0.020393,36347904,25.194815,,,,
repeated_1m_c8,r0,grpc_adapter,0,30.007888846,863.1396941292176,863.1396941292176,25901,0,0,27159166976,1.0,1.0,8.91,14.583999999999998,17.371,20.7405,25901,49.331626,1904.622447009768,390844416,390844416,59.520821,53559296,0,0,0.011278,36347904,,21.375173,27.956453,255705088,135139328
repeated_1m_c8,r0,nginx,0,30.006733013,1108.6178553855884,1108.6178553855884,33266,0,0,34881929216,1.0,1.0,6.923,11.24,13.693899999999996,38.59303,33266,26.730914,803.5505921962364,47644672,47644672,69.649685,57401344,33573950,33689600,0.011551,36347904,26.730914,,,,
repeated_1m_c8,r1,grpc_adapter,0,30.007560805,870.7805399379911,870.7805399379911,26130,0,0,27399290880,1.0,1.0,8.829,14.395549999999998,17.055,20.085323,26130,49.67374,1901.0233448143897,379314176,379314176,60.434469,52105216,0,0,0.010749,36347904,,21.508472,28.165268,249040896,130273280
repeated_1m_c8,r1,nginx,0,30.004377638,1139.3337469764851,1139.3337469764851,34185,0,0,35845570560,1.0,1.0,6.771,11.1428,13.25248,15.907063999999998,34185,26.562365,777.0181366096241,47992832,47992832,70.284135,53886976,33573950,33689600,0.011077,36347904,26.562365,,,,
